ID (auf Zettel),Gruppe(PO/OP),System(P/O),Alter,Uhrzeit,Datum,Vorerfahrung,Stimmung,Aufnahmefähigkeit,Stresslevel,inside/outside(i/o),Umgebungsgeräusche,,T1,T2,T3,T4,T1Klicks,T2Klicks,T3Klicks,T4Klicks,,Q1,Q2,Q3,
2PO,PO,P,29,15:15,30.05.2023,2,3,4,4,i,2,,ja,ja,ja,ja,5,1,8,4,,4,4,4,
2PO,PO,O,29,15:15,30.05.2023,2,3,4,4,i,2,,ja,nein,nein,nein,3,3,18,12,,3,3,3,
3OP,OP,O,21,15:40,30.05.2023,2,4,4,3,o,2,,ja,ja,nein,ja,0,3,9,6,,3,2,3,
3OP,OP,P,21,15:40,30.05.2023,2,4,4,3,o,2,,ja,ja,ja,ja,0,5,3,8,,4,4,4,
4PO,PO,P,21,14:52,31.05.2023,,,,,i,2,,ja,ja,,,0,1,1,,,,,,Testperson spricht Englisch
4PO,PO,O,21,14:52,31.05.2023,,,,,i,2,,,,,,,,,,,,,,technische Schwierigkeiten
5PO,PO,P,25,15:05,31.05.2023,3,5,5,1,i,2,,ja,ja,ja,ja,0,3,7,3,,5,5,5,
5PO,PO,O,25,15:05,31.05.2023,3,5,5,1,i,2,,ja,nein,nein,ja,10,6,2,11,,2,3,3,
6OP,OP,O,26,15:25,31.05.2023,3,5,5,2,i,2,,ja,nein,nein,ja,0,1,7,6,,4,4,4,
6OP,OP,P,26,15:25,31.05.2023,3,5,5,2,i,2,,ja,ja,ja,ja,0,2,3,3,,5,5,5,
7PO,PO,P,29,15:41,31.05.2023,2,4,3,4,i,2,,ja,ja,ja,ja,0,2,3,3,,5,4,5,Fehler aufgefallen
7PO,PO,O,29,15:41,31.05.2023,2,4,3,4,i,2,,ja,nein,nein,ja,2,3,8,6,,1,1,1,
8OP,OP,O,20,15:52,31.05.2023,3,5,5,3,i,2,,ja,nein,nein,ja,0,3,6,5,,2,1,1,
8OP,OP,P,20,15:52,31.05.2023,3,5,5,3,i,2,,ja,ja,ja,ja,0,2,3,3,,5,5,5,
9PO,PO,P,19,15:10,01.06.2023,1,4,4,1,i,2,,ja,ja,ja,ja,1,1,3,3,,5,5,5,
9PO,PO,O,19,15:10,01.06.2023,1,4,4,1,i,2,,ja,nein,nein,ja,6,15,4,8,,3,3,2,
10OP,OP,O,34,15:44,01.06.2023,3,3,2,4,i,1,,ja,ja,ja,ja,0,2,3,3,,2,3,4,
10OP,OP,P,34,15:44,01.06.2023,3,3,2,4,i,1,,ja,ja,ja,ja,14,2,3,3,,4,4,4,
11PO,PO,P,24,16:00,01.06.2023,2,4,3,3,i,1,,ja,ja,ja,ja,3,3,3,3,,5,5,5,
11PO,PO,O,24,16:00,01.06.2023,2,4,3,3,i,1,,ja,nein,ja,ja,0,4,5,6,,2,1,1,
12O2,OP,O,25,14:31,05.06.2023,3,5,5,2,i,2,,ja,ja,nein,ja,2,2,4,8,,3,2,3,
12OP,OP,P,25,14:31,05.06.2023,3,5,5,2,i,2,,ja,ja,ja,ja,0,2,3,7,,5,5,5,
13PO,PO,P,23,14:45,05.06.2023,3,4,5,3,o,2,,ja,ja,ja,ja,0,2,3,4,,5,4,5,
13PO,PO,O,23,14:45,05.06.2023,3,4,5,3,o,2,,ja,ja,ja,ja,3,4,9,5,,3,5,3,
14OP,OP,O,32,14:15,06.06.2023,3,3,4,2,o,2,,ja,ja,ja,nein,0,5,5,4,,3,3,2,
14OP,OP,P,32,14:15,06.06.2023,3,3,4,2,o,2,,ja,ja,ja,ja,0,2,5,3,,4,5,4,
15OP,OP,O,25,14:30,06.06.2023,0,2,3,4,o,3,,ja,ja,nein,nein,0,9,9,8,,3,3,5,
15OP,OP,P,25,14:30,06.06.2023,0,2,3,4,o,3,,ja,ja,nein,ja,0,4,7,10,,4,4,2,
16OP,OP,O,24,14:45,06.06.2023,2,4,2,4,o,2,,ja,ja,ja,ja,8,7,9,7,,1,1,2,
16OP,OP,P,24,14:45,06.06.2023,2,4,2,4,o,2,,ja,ja,ja,ja,0,2,5,4,,5,5,4,
17PO,PO,P,19,14:55,06.06.2023,2,3,2,4,o,2,,ja,ja,ja,ja,0,2,3,3,,5,5,5,
17PO,PO,O,19,14:55,06.06.2023,2,3,2,4,o,2,,ja,ja,ja,ja,0,3,4,6,,4,3,5,
18OP,OP,O,22,15:15,06.06.2023,1,2,2,3,o,2,,ja,ja,ja,ja,2,5,4,3,,2,1,4,
18OP,OP,P,22,15:15,06.06.2023,1,2,2,3,o,2,,ja,ja,ja,ja,0,2,5,4,,5,4,4,
19PO,PO,P,24,15:35,06.06.2023,2,2,3,4,o,2,,nein,ja,ja,ja,0,2,5,5,,2,5,3,
19PO,PO,O,24,15:35,06.06.2023,2,2,3,4,o,2,,ja,ja,ja,ja,8,8,6,3,,2,3,2,
,OP,O,,,,,,,,,,,,,,,,,,,,,,,
,OP,P,,,,,,,,,,,,,,,,,,,,,,,
,PO,P,,,,,,,,,,,,,,,,,,,,,,,
,PO,O,,,,,,,,,,,,,,,,,,,,,,,
,OP,O,,,,,,,,,,,,,,,,,,,,,,,
,OP,P,,,,,,,,,,,,,,,,,,,,,,,
,PO,P,,,,,,,,,,,,,,,,,,,,,,,
,PO,O,,,,,,,,,,,,,,,,,,,,,,,
